id,age,job,marital,education
1,58,management,married,tertiary
2,44,technician,single,secondary
3,33,entrepreneur,married,secondary
4,47,blue-collar,married,unknown
5,33,unknown,single,unknown
6,35,management,married,tertiary
7,28,management,single,tertiary
8,42,entrepreneur,divorced,tertiary
9,58,retired,married,primary
10,43,technician,single,secondary
11,41,admin.,divorced,secondary
12,29,admin.,single,secondary
13,53,technician,married,secondary
14,58,technician,married,unknown
15,57,services,married,secondary
16,51,retired,married,primary
17,45,admin.,single,unknown
18,57,blue-collar,married,primary
19,60,retired,married,primary
20,33,services,married,secondary
21,28,blue-collar,married,secondary
22,56,management,married,tertiary
23,32,blue-collar,single,primary
24,25,services,married,secondary
25,40,retired,married,primary
26,44,admin.,married,secondary
27,39,management,single,tertiary
28,52,entrepreneur,married,secondary
29,46,management,single,secondary
30,36,technician,single,secondary
31,57,technician,married,secondary
32,49,management,married,tertiary
33,60,admin.,married,secondary
34,59,blue-collar,married,secondary
35,51,management,married,tertiary
36,57,technician,divorced,secondary
37,25,blue-collar,married,secondary
38,53,technician,married,secondary
39,36,admin.,divorced,secondary
40,37,admin.,single,secondary
41,44,services,divorced,secondary
42,50,management,married,secondary
43,60,blue-collar,married,unknown
44,54,retired,married,secondary
45,58,retired,married,unknown
46,36,admin.,single,primary
47,58,self-employed,married,tertiary
48,44,technician,married,secondary
49,55,technician,divorced,secondary
50,29,management,single,tertiary
51,54,blue-collar,married,secondary
52,48,management,divorced,tertiary
53,32,management,married,tertiary
54,42,admin.,single,secondary
55,24,technician,single,secondary
56,38,entrepreneur,single,tertiary
57,38,management,single,tertiary
58,47,blue-collar,married,unknown
59,40,blue-collar,single,unknown
60,46,services,married,primary
61,32,admin.,married,tertiary
62,53,technician,divorced,secondary
63,57,blue-collar,married,primary
64,33,services,married,secondary
65,49,blue-collar,married,unknown
66,51,management,married,tertiary
67,60,retired,married,tertiary
68,59,management,divorced,tertiary
69,55,technician,married,secondary
70,35,blue-collar,single,secondary
71,57,blue-collar,married,secondary
72,31,services,married,secondary
73,54,management,married,secondary
74,55,blue-collar,married,primary
75,43,technician,married,secondary
76,53,technician,married,secondary
77,44,blue-collar,married,secondary
78,55,services,divorced,secondary
79,49,services,divorced,secondary
80,55,services,divorced,secondary
81,45,admin.,single,secondary
82,47,services,divorced,secondary
83,42,technician,single,secondary
84,59,admin.,married,secondary
85,46,self-employed,married,tertiary
86,51,blue-collar,married,primary
87,56,admin.,married,secondary
88,41,technician,married,secondary
89,46,management,divorced,secondary
90,57,retired,married,secondary
91,42,management,single,secondary
92,30,technician,married,secondary
93,60,admin.,married,secondary
94,60,blue-collar,married,unknown
95,57,entrepreneur,divorced,secondary
96,36,management,married,tertiary
97,55,blue-collar,married,secondary
98,60,retired,married,tertiary
99,39,technician,married,secondary
100,46,management,married,tertiary
101,44,blue-collar,married,secondary
102,53,blue-collar,married,primary
103,52,blue-collar,married,primary
104,59,blue-collar,married,primary
105,27,technician,single,tertiary
106,44,blue-collar,married,secondary
107,47,technician,married,tertiary
108,34,admin.,married,secondary
109,59,retired,single,secondary
110,45,management,married,tertiary
111,29,services,divorced,secondary
112,46,technician,divorced,secondary
113,56,self-employed,married,primary
114,36,blue-collar,married,primary
115,59,retired,divorced,primary
116,44,blue-collar,married,secondary
117,41,admin.,married,secondary
118,33,management,single,tertiary
119,59,management,divorced,tertiary
120,57,technician,married,primary
121,56,technician,divorced,unknown
122,51,blue-collar,married,secondary
123,34,admin.,married,unknown
124,43,services,married,secondary
125,52,technician,married,tertiary
126,33,technician,single,secondary
127,29,admin.,single,secondary
128,34,services,married,secondary
129,31,blue-collar,married,secondary
130,55,services,married,secondary
131,55,management,married,unknown
132,32,admin.,single,secondary
133,38,technician,single,secondary
134,55,admin.,single,secondary
135,28,unemployed,single,tertiary
136,23,blue-collar,married,secondary
137,32,technician,single,secondary
138,43,services,single,unknown
139,32,blue-collar,married,secondary
140,46,blue-collar,married,secondary
141,53,housemaid,divorced,primary
142,34,self-employed,single,secondary
143,57,unemployed,married,tertiary
144,37,blue-collar,married,secondary
145,59,blue-collar,married,secondary
146,33,services,married,secondary
147,56,blue-collar,divorced,primary
148,48,unemployed,married,secondary
149,43,services,married,primary
150,54,blue-collar,married,primary
151,51,blue-collar,married,unknown
152,26,student,single,secondary
153,40,management,married,tertiary
154,39,management,married,secondary
155,50,technician,married,primary
156,41,services,married,secondary
157,51,blue-collar,married,unknown
158,60,retired,divorced,secondary
159,52,blue-collar,married,secondary
160,48,blue-collar,married,secondary
161,48,services,married,unknown
162,39,technician,single,tertiary
163,47,services,single,secondary
164,40,blue-collar,married,secondary
165,45,technician,married,secondary
