id,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
2,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
3,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
4,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
5,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
6,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
7,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
8,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
9,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
10,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
11,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
12,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
13,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
14,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
15,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
16,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
17,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
18,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
19,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
20,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
21,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
22,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
23,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
24,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
25,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
26,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
27,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
28,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
29,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
30,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
31,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
32,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
33,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
34,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
36,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
37,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
38,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
39,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
40,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
41,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
42,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
43,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
44,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
45,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
46,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
47,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
48,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
49,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
50,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
51,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
52,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
53,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
54,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
55,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
56,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
57,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
58,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
59,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
60,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
61,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
62,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
63,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
64,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
